idx1	idx2	t_1	t_2	t_3	q_1	q_2	q_3	q_4
0.0000000000	2.0000000000	4.7372760000	-0.0033000000	0.0585580000	0.0037060352	0.0022922718	-0.0000405004	0.9999905045
0.0000000000	4.0000000000	9.3826590000	0.0197670000	0.1108700000	0.0048203188	0.0013840198	0.0019462778	0.9999855304
0.0000000000	7.0000000000	15.7324320000	0.0858870000	0.1676270000	0.0062034688	0.0002130075	0.0056499493	0.9999647742
1.0000000000	3.0000000000	4.7288237085	0.0071496047	0.0288835144	0.0047103374	0.0020284083	0.0019588343	0.9999849305
1.0000000000	4.0000000000	7.5060397504	0.0346435610	0.0446229190	0.0047090276	0.0038712988	0.0030933899	0.9999766342
1.0000000000	8.0000000000	15.6474518602	0.1546618174	0.0803253148	0.0049951595	0.0023536339	0.0083275938	0.9999500787
2.0000000000	3.0000000000	1.8680996917	0.0023688542	0.0313318698	0.0011144318	-0.0027477929	0.0008647558	0.9999952299
2.0000000000	6.0000000000	8.3027674808	0.0567497706	0.1211361628	0.0020238755	-0.0001566243	0.0035065891	0.9999917916
2.0000000000	8.0000000000	12.7860489835	0.1263984062	0.1861422430	0.0013693018	-0.0023998683	0.0072336284	0.9999700197
3.0000000000	4.0000000000	2.7772172964	0.0168129704	0.0267991893	0.0000000383	0.0018482255	0.0011258723	0.9999976582
3.0000000000	7.0000000000	9.1271404531	0.0731407016	0.0771416518	0.0013840196	0.0006939555	0.0048345277	0.9999871150
3.0000000000	9.0000000000	12.7086031467	0.1377725513	0.1127181614	0.0002812112	0.0013193361	0.0077277926	0.9999692303
4.0000000000	6.0000000000	3.6578510456	0.0183609649	0.0410523753	0.0009169513	0.0007440511	0.0015122661	0.9999981593
4.0000000000	9.0000000000	9.9312409575	0.0985993796	0.1226240230	0.0002683766	-0.0005291524	0.0066024556	0.9999780275
4.0000000000	10.0000000000	11.6809602833	0.1308141352	0.1491335834	0.0003323439	-0.0001791625	0.0081188757	0.9999669701
5.0000000000	6.0000000000	1.8153523040	0.0107548431	0.0236781019	0.0002864471	-0.0005470195	0.0009135491	0.9999993921
5.0000000000	8.0000000000	6.2988796794	0.0573745328	0.0919909484	-0.0003753636	-0.0027820764	0.0046442621	0.9999852749
5.0000000000	12.0000000000	14.1285950416	0.2090444726	0.2092861466	0.0001200203	0.0016459216	0.0101704991	0.9999469173
6.0000000000	7.0000000000	2.6919579920	0.0155920060	0.0367282858	0.0004543692	-0.0018985266	0.0022010405	0.9999956723
6.0000000000	9.0000000000	6.2734786750	0.0614223408	0.0907770434	-0.0006542682	-0.0012675389	0.0050908957	0.9999860239
6.0000000000	12.0000000000	12.3137843581	0.1758908325	0.1720223792	-0.0001593420	0.0021957121	0.0092564570	0.9999547347
7.0000000000	9.0000000000	3.5818673155	0.0301072965	0.0404156553	-0.0011017537	0.0006347206	0.0028916824	0.9999950107
7.0000000000	10.0000000000	5.3318351743	0.0494016590	0.0628099445	-0.0010347209	0.0009865436	0.0044075751	0.9999892646
7.0000000000	13.0000000000	12.0496322198	0.1758300446	0.1195740012	-0.0019229518	0.0017044184	0.0080277328	0.9999644757
8.0000000000	10.0000000000	3.5400583980	0.0234488611	0.0406936832	0.0000822431	0.0013149347	0.0028760622	0.9999949962
8.0000000000	12.0000000000	7.8313188052	0.0788632367	0.0738096205	0.0005313007	0.0044234497	0.0055266180	0.9999748033
8.0000000000	15.0000000000	13.3842091093	0.2000987593	0.1301901649	-0.0014414475	0.0013293425	0.0093342060	0.9999545128
9.0000000000	12.0000000000	6.0413415997	0.0528650851	0.0660431878	0.0005178081	0.0034579175	0.0041673007	0.9999852040
9.0000000000	13.0000000000	8.4683539216	0.0965599917	0.0901754373	-0.0008213939	0.0010664280	0.0051367702	0.9999859007
9.0000000000	16.0000000000	13.8512429717	0.2126754161	0.1528734127	-0.0016574400	0.0027980590	0.0109870266	0.9999343523
10.0000000000	12.0000000000	4.2914058136	0.0307359933	0.0443958815	0.0004545121	0.0031074521	0.0026509355	0.9999915548
10.0000000000	13.0000000000	6.7185223649	0.0670741375	0.0702222344	-0.0008886538	0.0007180611	0.0036200949	0.9999927948
10.0000000000	16.0000000000	12.1016944126	0.1668740971	0.1366750169	-0.0017241179	0.0024513687	0.0094700134	0.9999506673
11.0000000000	13.0000000000	4.9851770897	0.0424309774	0.0479928336	-0.0007608982	0.0006699133	0.0023017125	0.9999968372
11.0000000000	14.0000000000	6.5649814420	0.0638571040	0.0709355745	-0.0010545440	0.0003709823	0.0033447847	0.9999937813
11.0000000000	16.0000000000	10.3685883294	0.1280195186	0.1149912129	-0.0015943655	0.0024035803	0.0081518599	0.9999626133
12.0000000000	13.0000000000	2.4270673823	0.0234993583	0.0408831737	-0.0013525023	-0.0023853727	0.0009660611	0.9999957737
12.0000000000	15.0000000000	5.5531741833	0.0599385245	0.1054137686	-0.0020066304	-0.0030810132	0.0038005214	0.9999860183
12.0000000000	17.0000000000	9.2568124722	0.1356700107	0.1658846089	-0.0039153840	-0.0007443465	0.0086912017	0.9999542883
13.0000000000	16.0000000000	5.3836555049	0.0606992414	0.0743241112	-0.0008334202	0.0017311517	0.0058509693	0.9999810372
13.0000000000	17.0000000000	6.8304740001	0.0986840009	0.0926991816	-0.0025429134	0.0016329502	0.0077334827	0.9999655296
13.0000000000	19.0000000000	10.9176014498	0.2136059241	0.1302623532	-0.0082141472	0.0006915285	0.0085347061	0.9999296017
14.0000000000	16.0000000000	3.8039179632	0.0386194895	0.0469887987	-0.0005348365	0.0020293337	0.0048090930	0.9999862341
14.0000000000	17.0000000000	5.2508230430	0.0735757852	0.0645206016	-0.0022438738	0.0019323542	0.0066921041	0.9999732230
14.0000000000	20.0000000000	10.6183935491	0.2024901180	0.1141663045	-0.0087138576	0.0005371171	0.0049965628	0.9999494060
15.0000000000	16.0000000000	2.2573756357	0.0176224675	0.0214948447	-0.0001763820	0.0024285639	0.0030176229	0.9999924824
15.0000000000	18.0000000000	5.7971850690	0.0905974725	0.0522691347	-0.0036061304	0.0034363277	0.0070306823	0.9999628778
15.0000000000	22.0000000000	12.1027177533	0.1928513404	0.0995083295	-0.0187515462	0.0058686486	-0.0079714676	0.9997751718
16.0000000000	18.0000000000	3.5399943260	0.0515970548	0.0479908286	-0.0034364338	0.0010174701	0.0040049682	0.9999855578
16.0000000000	19.0000000000	5.5351239774	0.0880285568	0.0753015789	-0.0073913627	-0.0009985691	0.0026703438	0.9999686194
16.0000000000	24.0000000000	12.8306310363	0.0203693001	0.1624045828	-0.0295748347	0.0020625046	-0.0332410622	0.9990075610
17.0000000000	19.0000000000	4.0882671003	0.0514671602	0.0513381649	-0.0056797190	-0.0008995105	0.0007898196	0.9999831538
17.0000000000	22.0000000000	8.3989528674	0.0628352286	0.1012195327	-0.0168194452	0.0036420314	-0.0129042416	0.9997686344
17.0000000000	25.0000000000	12.9448254060	-0.1758651736	0.1530301963	-0.0300124961	0.0037994264	-0.0514635966	0.9982165660
18.0000000000	20.0000000000	3.2755737911	0.0200552058	0.0538782488	-0.0047560453	-0.0024380989	-0.0038479074	0.9999783144
18.0000000000	23.0000000000	7.3928779492	-0.0152144333	0.1038061999	-0.0192344369	0.0034306456	-0.0220588215	0.9995657435
18.0000000000	25.0000000000	10.8505617731	-0.2451486169	0.1520085430	-0.0282295371	0.0028469919	-0.0536137678	0.9981585805
19.0000000000	23.0000000000	5.3979040638	-0.0214213633	0.0504732477	-0.0153229377	0.0054868235	-0.0206617043	0.9996540383
19.0000000000	25.0000000000	8.8563571466	-0.2423691248	0.0830882707	-0.0243856943	0.0050132774	-0.0522025693	0.9983261475
19.0000000000	29.0000000000	13.2294851284	-1.3491167599	0.1559450546	-0.0325161234	0.0003287005	-0.1997533107	0.9793064937
20.0000000000	23.0000000000	4.1176498373	-0.0039589655	0.0296652972	-0.0145470186	0.0058985154	-0.0181488897	0.9997120633
20.0000000000	25.0000000000	7.5771916297	-0.2076431440	0.0589417170	-0.0236232950	0.0054269067	-0.0496894097	0.9984705560
20.0000000000	28.0000000000	10.7546549995	-0.8221264688	0.1015443205	-0.0275368244	0.0008098704	-0.1347273090	0.9904996818
21.0000000000	24.0000000000	4.1525829214	-0.0534349599	0.0605944087	-0.0146694864	0.0001720696	-0.0277564801	0.9995070557
