idx1	idx2	t_1	t_2	t_3	q_1	q_2	q_3	q_4
10.0000000000	14.0000000000	12.3545650562	0.0441600537	0.1313181687	-0.0016270370	-0.0008729877	-0.0016730981	0.9999968957
10.0000000000	19.0000000000	24.9467758474	0.0777042627	0.2713774105	-0.0056266523	0.0012786950	-0.0008556105	0.9999829867
11.0000000000	16.0000000000	13.8067426196	0.0383858444	0.1575070282	-0.0000242186	0.0006950253	-0.0011647198	0.9999990799
11.0000000000	20.0000000000	25.0441134609	0.0907341148	0.2798456821	-0.0031829227	0.0018303285	0.0003462809	0.9999931995
12.0000000000	17.0000000000	12.4903220334	0.0589749387	0.2015538502	-0.0050890897	-0.0016472870	-0.0004205331	0.9999856053
12.0000000000	20.0000000000	20.9339987787	0.1134136538	0.3346315966	-0.0058149392	-0.0006508862	0.0009871010	0.9999823941
13.0000000000	18.0000000000	12.5332475380	0.0786946868	0.1459519840	-0.0070098152	0.0009007981	-0.0000864728	0.9999750215
13.0000000000	20.0000000000	18.1704287717	0.1131823672	0.2122991804	-0.0060668346	0.0015316933	0.0012325118	0.9999796640
14.0000000000	19.0000000000	12.5922553234	0.0752618160	0.1182494896	-0.0040025122	0.0021436428	0.0008244540	0.9999893524
14.0000000000	21.0000000000	18.2531177948	0.1280625048	0.1634487178	-0.0043937893	0.0031698249	0.0024808940	0.9999822458
15.0000000000	19.0000000000	11.2038409717	0.0730339537	0.1096713076	-0.0036663408	0.0020205147	0.0010207799	0.9999907167
15.0000000000	21.0000000000	16.8646728661	0.1280230506	0.1562877837	-0.0040580234	0.0030460628	0.0026775162	0.9999835423
16.0000000000	20.0000000000	11.2370349670	0.0785213561	0.1379638420	-0.0031610745	0.0011315908	0.0015088249	0.9999932253
16.0000000000	23.0000000000	19.7635942060	0.1619974089	0.2278688244	-0.0011626138	0.0025168204	0.0039512096	0.9999883509
17.0000000000	21.0000000000	11.2859855624	0.0873253555	0.1396998821	-0.0012347907	0.0012467276	0.0022980683	0.9999958199
17.0000000000	25.0000000000	22.6608754451	0.1989353174	0.2511095100	0.0041878251	0.0032491077	0.0031466083	0.9999810020
18.0000000000	22.0000000000	11.3288458806	0.0896958087	0.1438175692	0.0010698203	0.0019627329	0.0031252379	0.9999926180
18.0000000000	25.0000000000	19.8538207493	0.1699924515	0.2330813831	0.0058530607	0.0028785727	0.0030625117	0.9999740379
19.0000000000	23.0000000000	11.3453189322	0.0900016339	0.1313275341	0.0021154231	0.0021382285	0.0032230523	0.9999902824
19.0000000000	26.0000000000	19.8813062648	0.1661778095	0.2190121600	0.0054506325	0.0026532517	0.0018484982	0.9999799168
20.0000000000	24.0000000000	11.3677139927	0.0827204914	0.1427266218	0.0031054380	0.0019408620	0.0021010082	0.9999910875
20.0000000000	27.0000000000	19.8716989890	0.1460708774	0.2412951490	0.0031350829	0.0025588886	0.0003855564	0.9999917373
21.0000000000	25.0000000000	11.3749618106	0.0590231100	0.1399848914	0.0054261192	0.0019888805	0.0008578035	0.9999829327
21.0000000000	27.0000000000	17.0298366388	0.0968314231	0.2106919749	0.0036485843	0.0022980241	-0.0004961936	0.9999905803
22.0000000000	26.0000000000	11.3704707876	0.0388880359	0.1670249793	0.0052076134	0.0005347788	-0.0007159359	0.9999860410
22.0000000000	29.0000000000	18.3943277754	0.0731793458	0.2560143571	-0.0026910651	0.0021561495	-0.0022397621	0.9999915463
23.0000000000	27.0000000000	11.3450514702	0.0339657106	0.1625993976	0.0011430592	0.0011774879	-0.0020642451	0.9999965229
23.0000000000	30.0000000000	18.3425035238	0.0606441600	0.2455999790	-0.0071108643	0.0019030862	-0.0038934171	0.9999653270
24.0000000000	28.0000000000	9.9188620118	0.0336399805	0.1518996882	-0.0017009279	0.0013041760	-0.0019419569	0.9999958174
24.0000000000	31.0000000000	18.2742272145	0.0539647133	0.2611451014	-0.0077645529	0.0016823814	-0.0037222198	0.9999615125
25.0000000000	29.0000000000	9.8691835253	0.0483807440	0.1507262613	-0.0074753029	0.0012444137	-0.0021982221	0.9999688691
25.0000000000	31.0000000000	15.4250137629	0.0621311903	0.2285651022	-0.0095730966	0.0013666323	-0.0033684487	0.9999475695
