idx1	idx2	t_1	t_2	t_3	q_1	q_2	q_3	q_4
0.0000000000	1.0000000000	0.9659940000	-0.1798540000	0.0046880000	0.0000971209	0.0036185701	-0.0872414431	0.9961806197
0.0000000000	4.0000000000	3.6930990000	-2.3005590000	-0.0821880000	0.0130966658	0.0248113526	-0.4045454675	0.9140874350
0.0000000000	7.0000000000	5.5485560000	-6.1218580000	-0.3135410000	0.0104961198	0.0242690011	-0.5711807115	0.8203983434
1.0000000000	2.0000000000	1.1904174732	-0.3437832738	0.0014444171	0.0059563900	0.0123332059	-0.1233875078	0.9922640457
1.0000000000	5.0000000000	4.4490962065	-3.2333153543	-0.1732535275	0.0100675752	0.0276966368	-0.4368085929	0.8990716286
1.0000000000	8.0000000000	6.4115686737	-6.7090794300	-0.3636890375	0.0121080777	0.0211174743	-0.5187321044	0.8545902238
2.0000000000	4.0000000000	2.1196824502	-0.7756050976	-0.0051522466	0.0077362033	0.0102583077	-0.2039694979	0.9788929268
2.0000000000	5.0000000000	3.8701229694	-2.0044586852	-0.0567108892	0.0066043811	0.0150343907	-0.3225361106	0.9464147117
2.0000000000	9.0000000000	7.5268144937	-5.9254350635	-0.1862566348	0.0107210303	0.0113035332	-0.4192876562	0.9077197535
3.0000000000	5.0000000000	3.0219711084	-1.0243818325	-0.0046132614	0.0038489064	0.0068906815	-0.2092776737	0.9778244013
3.0000000000	6.0000000000	3.9198390276	-1.5326936167	-0.0129706552	0.0051366500	0.0048623662	-0.2472011181	0.9689383775
3.0000000000	8.0000000000	6.3782210479	-3.1931297592	-0.0296205013	0.0094860055	0.0011501594	-0.2993330337	0.9541008478
4.0000000000	5.0000000000	2.0961418763	-0.4277441015	0.0018431301	-0.0006146112	0.0038603394	-0.1227371132	0.9924315196
4.0000000000	7.0000000000	4.0824724986	-1.1966541025	0.0017171921	0.0032037739	-0.0014056320	-0.1902781314	0.9817239901
4.0000000000	11.0000000000	10.3621588745	-4.3284101585	0.0112379410	0.0062177300	0.0062347988	-0.2508969604	0.9679737509
5.0000000000	6.0000000000	1.0272724957	-0.0962891606	0.0075880387	0.0019792580	-0.0017985863	-0.0389254994	0.9992385366
5.0000000000	8.0000000000	3.9498173118	-0.6050277782	0.0373934090	0.0074253184	-0.0046166946	-0.0929621990	0.9956312472
5.0000000000	13.0000000000	12.8386401060	-2.9492244433	0.0624561348	0.0070230586	0.0091007755	-0.1622052538	0.9866900771
6.0000000000	7.0000000000	1.0960845615	-0.0805150638	0.0041552569	0.0027708952	-0.0028294044	-0.0294460464	0.9995585260
6.0000000000	10.0000000000	5.7502356822	-0.6504368055	0.0350010065	0.0046111923	0.0018198565	-0.0756942471	0.9971187522
6.0000000000	13.0000000000	11.9976433884	-1.9252995733	0.0214870972	0.0044188501	0.0108208111	-0.1237049984	0.9922501989
7.0000000000	8.0000000000	1.8658383802	-0.0894818326	0.0068988587	0.0026192128	0.0001197811	-0.0247218948	0.9996909289
7.0000000000	12.0000000000	8.5878455014	-0.7873509908	-0.0132934811	0.0013393952	0.0118775587	-0.0742094640	0.9971710410
7.0000000000	15.0000000000	14.2047078539	-1.9660002410	-0.0722768590	-0.0027102199	0.0124590864	-0.1400153302	0.9900672367
