idx1	idx2	t_1	t_2	t_3	q_1	q_2	q_3	q_4
7.0000000000	10.0000000000	4.8504956529	0.2355435958	0.0637788247	-0.0027296762	-0.0164727464	0.0306182192	0.9993916760
7.0000000000	15.0000000000	13.5380738824	1.1767318616	0.6435451518	-0.0149993107	-0.0368053467	0.0637170923	0.9971762729
8.0000000000	12.0000000000	7.1445038881	0.3885466212	0.1912559453	-0.0098396981	-0.0325497531	0.0332962939	0.9988668834
8.0000000000	15.0000000000	12.4212256714	0.9260349333	0.5782689721	-0.0144246236	-0.0341922465	0.0548208177	0.9978063432
9.0000000000	12.0000000000	5.3411656091	0.2071258189	0.1393223393	-0.0097262548	-0.0285268703	0.0207659310	0.9993299724
9.0000000000	15.0000000000	10.6325935068	0.6115033572	0.4853384257	-0.0142475996	-0.0301241814	0.0423192243	0.9985482576
10.0000000000	13.0000000000	4.8971626411	0.1709613675	0.1118327261	-0.0118859060	-0.0227419145	0.0168712125	0.9995283351
10.0000000000	17.0000000000	12.0102008918	0.7380879853	0.4092488127	-0.0145835387	-0.0120910420	0.0518343411	0.9984760028
11.0000000000	15.0000000000	7.4094824123	0.3128553625	0.1681855360	-0.0091585367	-0.0114456578	0.0289885396	0.9994722521
11.0000000000	17.0000000000	10.6806951890	0.6171930289	0.2264668241	-0.0112028478	-0.0035173565	0.0475750001	0.9987986503
12.0000000000	16.0000000000	6.9501066393	0.2842110174	0.0543861034	-0.0047262415	0.0034771460	0.0312924937	0.9994930475
12.0000000000	26.0000000000	26.2826036576	3.3093341537	-0.4294073506	0.0034639921	0.0192546006	0.0943542956	0.9953464362
13.0000000000	16.0000000000	5.4924842470	0.1884696142	0.0052477663	-0.0007598736	0.0076511161	0.0261107961	0.9996294860
13.0000000000	24.0000000000	20.7867403410	2.2827399900	-0.4498925280	0.0046275969	0.0222150503	0.0868492351	0.9959629949
14.0000000000	16.0000000000	3.1966806773	0.0839060483	-0.0007525954	0.0000176477	0.0074619541	0.0170102651	0.9998274700
14.0000000000	26.0000000000	22.6034902693	2.5592155468	-0.6168080174	0.0086700720	0.0228152597	0.0801626298	0.9964829384
15.0000000000	18.0000000000	4.9618070778	0.2094758715	-0.0337066540	-0.0016998482	0.0084007022	0.0283246396	0.9995620308
15.0000000000	27.0000000000	23.1885114940	2.5488054059	-0.6095810736	0.0092544010	0.0232160665	0.0761423705	0.9967836825
16.0000000000	22.0000000000	11.4760505382	0.7956672748	-0.1184721092	0.0041411527	0.0143728340	0.0545205586	0.9984006116
16.0000000000	28.0000000000	24.7400945810	2.5674632822	-0.4708562510	0.0132599201	0.0200388939	0.0775747154	0.9966969353
17.0000000000	23.0000000000	11.7712237425	0.7713230877	-0.1048899710	0.0063096045	0.0114858865	0.0499583561	0.9986653223
17.0000000000	29.0000000000	25.2336513043	2.4267440474	-0.3955735163	0.0154422831	0.0154977682	0.0799888755	0.9965556356
18.0000000000	24.0000000000	12.0982199060	0.7302745535	-0.1386692982	0.0064812428	0.0110251558	0.0422482452	0.9990252876
18.0000000000	29.0000000000	23.5954032045	1.9396515697	-0.3730613775	0.0157011049	0.0147544927	0.0703947560	0.9972864977
19.0000000000	24.0000000000	10.3726853702	0.5121943603	-0.1059163775	0.0059611643	0.0092553375	0.0328228898	0.9994005509
19.0000000000	29.0000000000	21.8913942068	1.5041060859	-0.3016339929	0.0151679755	0.0129160145	0.0609984355	0.9979390262
